,Gas Age,CO2 (ppvm)
0,2342,284.7
1,3634,272.8
2,3833,268.1
3,6220,262.2
4,7327,254.6
5,8113,259.6
6,10123,261.6
7,11013,263.7
8,11326,244.8
9,11719,238.3
10,13405,236.2
11,13989,225.3
12,17695,182.2
13,19988,189.2
14,22977,191.6
15,26303,188.5
16,27062,191.7
17,31447,205.4
18,33884,209.1
19,39880,209.1
20,44766,189.3
21,47024,188.4
22,48229,210.1
23,49414,215.7
24,51174,190.4
25,57068,221.8
26,57799,210.4
27,63687,195.4
28,65701,191.4
29,66883,195.0
30,72849,227.4
31,75360,229.2
32,78995,217.1
33,80059,221.8
34,82858,231.0
35,84929,241.1
36,85727,236.4
37,86323,228.1
38,87180,214.2
39,88051,217.0
40,89363,208.0
41,91691,224.3
42,92460,228.4
43,95349,232.1
44,99842,225.9
45,100833,230.9
46,101829,236.9
47,103372,228.2
48,105213,236.9
49,106203,230.7
50,108308,238.2
51,108994,245.7
52,110253,251.3
53,111456,256.8
54,112577,266.3
55,113472,261.4
56,114082,274.6
57,114738,273.3
58,116175,262.5
59,117519,267.6
60,118396,273.8
61,119273,272.0
62,120002,265.2
63,120652,277.7
64,121961,272.2
65,122606,276.5
66,123815,268.7
67,123858,266.6
68,124306,266.3
69,124571,279.8
70,124876,277.2
71,125746,273.8
72,126023,267.1
73,126475,262.5
74,126809,262.6
75,127445,275.4
76,128300,274.1
77,128399,287.1
78,128652,286.8
79,129007,282.7
80,129411,264.1
81,129755,263.4
82,130167,259.0
83,131789,240.4
84,133334,224.0
85,134205,208.9
86,135003,204.6
87,135683,198.1
88,135976,201.8
89,136359,202.5
90,136659,195.9
91,137383,194.4
92,137694,193.4
93,138226,190.2
94,139445,192.3
95,141312,196.5
96,142357,190.4
97,145435,197.0
98,150303,191.9
99,154471,189.0
100,155299,185.5
101,160494,204.4
102,162996,191.6
103,165278,183.8
104,169870,197.9
105,172596,197.8
106,175440,190.3
107,176271,190.1
108,178550,207.7
109,180779,213.2
110,181617,217.7
111,183355,199.8
112,185063,203.5
113,187199,210.7
114,189335,231.4
115,191057,231.5
116,192632,218.0
117,195625,220.1
118,199025,242.6
119,202212,251.0
120,203191,239.1
121,204283,247.7
122,205148,244.4
123,205715,232.2
124,206119,228.7
125,207991,238.2
126,209414,242.2
127,210022,244.6
128,210830,247.3
129,211005,252.0
130,212281,257.4
131,214153,251.2
132,215041,241.4
133,215593,240.3
134,215879,242.7
135,216459,247.5
136,217009,251.7
137,217271,251.2
138,217676,245.4
139,218342,240.5
140,219680,212.2
141,220182,216.2
142,220760,207.2
143,221054,208.9
144,221612,205.7
145,222958,203.4
146,223446,215.7
147,224630,236.9
148,225299,234.5
149,225509,233.1
150,225888,224.5
151,226710,232.4
152,227384,233.9
153,227840,241.7
154,230703,245.2
155,231382,252.2
156,231990,241.4
157,232570,247.4
158,233102,243.1
159,233646,239.2
160,234126,245.7
161,234470,245.9
162,234781,247.4
163,235213,252.9
164,236236,259.8
165,237831,279.0
166,238935,263.8
167,239250,252.4
168,239545,249.9
169,240201,230.4
170,240577,219.4
171,242068,214.7
172,243653,200.2
173,244215,213.9
174,244863,195.4
175,245483,196.7
176,247447,199.0
177,248087,201.9
178,248980,204.0
179,250461,203.9
180,251521,209.7
181,252959,208.9
182,253880,214.7
183,255233,228.2
184,256053,199.9
185,256501,211.7
186,257247,188.7
187,258477,194.2
188,259228,198.9
189,259958,184.7
190,260754,190.4
191,261595,193.9
192,262411,194.2
193,263207,198.4
194,264046,193.2
195,264834,202.2
196,266492,211.0
197,267434,215.4
198,268679,223.7
199,270680,231.4
200,273012,226.4
201,274445,230.4
202,275218,231.0
203,277925,220.4
204,278602,217.2
205,279543,207.7
206,282301,212.7
207,283492,213.2
208,286217,224.4
209,287846,236.2
210,290571,240.2
211,291769,240.7
212,292474,250.2
213,293676,244.9
214,294615,225.9
215,295849,227.9
216,297131,233.2
217,298051,237.9
218,299020,239.0
219,299877,241.9
220,300646,251.7
221,301496,256.8
222,302456,257.2
223,303334,246.9
224,303953,272.7
225,304590,251.7
226,305306,244.7
227,307131,255.9
228,308101,249.2
229,310039,256.3
230,310930,260.4
231,311774,260.3
232,313493,266.3
233,315143,266.2
234,315940,270.2
235,316681,271.9
236,317445,275.2
237,318980,265.0
238,319754,271.8
239,320378,272.7
240,321386,273.2
241,322111,282.4
242,322582,289.2
243,322827,288.4
244,323485,298.7
245,324189,278.2
246,324991,285.8
247,325527,278.7
248,326239,270.5
249,327114,255.7
250,328097,241.9
251,329267,239.7
252,330208,234.2
253,332293,250.2
254,333627,200.7
255,335290,205.2
256,336972,204.9
257,340165,220.4
258,342998,221.2
259,344735,216.2
260,347610,209.2
261,350765,193.0
262,352412,186.2
263,356838,201.2
264,359688,206.4
265,362766,201.9
266,366221,214.7
267,369563,229.7
268,373014,227.0
269,374561,240.0
270,378194,246.9
271,379633,245.9
272,384909,264.7
273,386579,259.3
274,390589,255.2
275,392451,250.2
276,394628,266.3
277,396713,274.7
278,400390,278.0
279,405844,279.7
280,409022,283.7
281,410831,276.3
282,414085,285.5
