dt,AverageTemperature
1743-11-01,3.264
1744-04-01,9.788
1744-05-01,15.708
1744-06-01,21.21
1744-07-01,22.207
1744-09-01,14.922
1744-10-01,8.968
1744-11-01,3.161
1744-12-01,-2.681
1745-01-01,-2.363
1745-02-01,-2.6710000000000003
1745-03-01,1.3630000000000002
1745-04-01,8.209
1750-01-01,-4.3100000000000005
1750-02-01,-2.7190000000000003
1750-03-01,2.773
1750-04-01,8.847999999999997
1750-05-01,15.411
1750-06-01,19.017
1750-07-01,24.203000000000007
1750-08-01,22.135
1750-09-01,17.444999999999997
1750-10-01,9.076
1750-12-01,-1.093
1751-01-01,-3.591
1751-02-01,-2.051
1751-03-01,3.256
1751-04-01,7.992000000000001
1751-06-01,20.724
1751-07-01,22.668000000000006
1751-08-01,21.547
1751-09-01,15.811999999999998
1752-01-01,-7.587999999999999
1752-03-01,3.322
1752-04-01,7.402
1752-10-01,9.390999999999998
1752-11-01,5.831
1752-12-01,-1.471
1753-01-01,-3.122
1753-02-01,-1.467
1753-03-01,4.207
1753-04-01,8.099
1753-05-01,15.33
1753-06-01,20.82
1753-07-01,22.524
1753-08-01,21.324
1753-09-01,15.547999999999998
1753-10-01,10.479
1753-11-01,3.363
1753-12-01,-2.8539999999999996
1754-01-01,-2.252
1754-02-01,-2.583
1754-03-01,2.728
1754-06-01,20.075
1754-07-01,22.503
1754-08-01,21.461
1754-09-01,16.281
1754-10-01,11.477
1754-12-01,-0.752
1755-01-01,-3.193
1755-02-01,-1.802
1755-03-01,1.112
1755-04-01,8.714
1755-05-01,15.238
1755-06-01,19.964
1755-09-01,16.136999999999997
1755-10-01,8.668999999999999
1755-11-01,3.599
1755-12-01,-2.381
1756-01-01,-1.985
1756-02-01,0.2589999999999999
1756-06-01,20.488000000000003
1756-07-01,22.452
1756-08-01,21.208
1756-09-01,17.345
1756-10-01,9.662
1756-11-01,2.894
1756-12-01,-2.9
1757-01-01,-4.79
1757-02-01,-1.507
1757-03-01,2.26
1757-04-01,7.666
1757-05-01,15.332
1757-06-01,22.461
1757-07-01,24.345
1757-08-01,21.159
1757-10-01,9.419999999999998
1757-11-01,2.957
1757-12-01,-1.555
1758-01-01,-4.982
1758-02-01,-3.689
1758-03-01,1.5319999999999998
1758-04-01,7.7680000000000025
1758-05-01,13.844000000000001
1758-06-01,19.097
1758-07-01,21.276
1758-08-01,19.42
1758-09-01,15.386
1758-10-01,7.0429999999999975
1758-11-01,3.784
1758-12-01,-2.676
1759-01-01,-3.35
1759-02-01,-0.007000000000000117
1759-03-01,2.7110000000000003
1759-04-01,7.9910000000000005
1759-05-01,14.739
1759-06-01,19.267
1759-07-01,19.827
1759-08-01,19.814
1759-09-01,16.558999999999994
1759-10-01,10.81
1759-11-01,4.375
1759-12-01,-4.647
1760-01-01,-4.2
1760-02-01,-1.327
1760-03-01,1.358
1760-04-01,8.617
1760-05-01,14.091
1760-06-01,18.554
1760-08-01,21.479
1760-09-01,16.044999999999998
1760-10-01,9.187999999999999
